Type,Coolness,Beauty,Cuteness,Cleverness,Toughness
Normal,Incredible Shining Road,Graceful Shining Road,Pretty Shining Road,Bright Shining Road,Strong Shining Road
Fighting,Grand Advance,Uplifting Dawn,Charming Onslaught,Tactical Approach,Ballistic Bullet
Flying,Glorious Skies,Celestial Skies,Pleasant Skies,Keen Skies,Intrepid Skies
Poison,Toxiquad CL,Venin Quartet BT,Poison Orbit CN,Vitriolic Division CV,Blighted Force TG
Ground,Planet Burst,Global Shuddering,Shaky Ground,Tectonic Shift,Supershear Quake
Rock,Rising Above,Roaring Fantasia,Echo Ridge,Ambient World,These Stone Walls
Bug,Cool Chrysalis,Radiant Emergence,Sweet Unfurling,Intellectual Awakening,Bold Transformation
Ghost,Accursed House,Nightmare Dawn,Midnight Revels,Evil Rituals,Agony Theater
Steel,Clarior E Tenebris,Luceat Lux Vestra,Amor Vincit Omnia,Scientia Potentia Est,Audaces Fortuna Iuvat
Fire,Splendid Inferno,Exquisite Inferno,Scintillating Inferno,Philosophical Inferno,Devouring Inferno
Water,Amazing Blessed Rain,Serene Blessed Rain,Pattering Blessed Rain,Clear Blessed Rain,Soaking Blessed Rain
Grass,Fresh Flower Garden,Cultured Flower Garden,Enchanting Flower Garden,Blooming Flower Garden,Impressive Flower Garden
Electric,Striking Chronicles,Lightning Dazzle,Glittering Rhapsody,Electrodynamic Archives,Thunderbolt Aftershock
Psychic,Techno,Serenade,Lullaby,Madrigal,Anthem
Ice,Sublime Iceberg,Glistening Icicles,Twinkling Diamonds,Acute Frost,Powerful Blizzard
Dragon,Doom Incarnate,Regal Courtesy,Passionate Archetype,Proven Sagacity,Agent of Divinity
Dark,Moonlit Pledge,Moonscape Reflection,Moonrise Beckoning,Moonbright Vision,Moonshadow Sorrow
Fairy,Awesome Adventure,Elegant Outing,Delightful Wandering,Intelligent Expedition,Heroic Journey
