ID,Gen,Name,Type,AC (MD?),AC,PW,PP,PR,Charge,Recoil,Source,Resistance,Description,TODO Check Description Difference,Target,Effect Chance
1,1,Pound,Normal,100,100,40,35,0,0,0,Attack,Defense,"The target is physically pounded with a long tail, a foreleg, or the like.",The target is physically pounded with a long tail a foreleg or the like.,"One other Pokémon on the field, selected by the trainer.",TODO
2,1,Karate Chop,Fighting,100,100,50,25,0,0,0,Attack,Defense,The target is attacked with a sharp chop. Critical hits land more easily.,The target is attacked with a sharp chop. Critical hits land more easily.,"One other Pokémon on the field, selected by the trainer.",TODO
3,1,Double Slap,Normal,50,85,15,10,0,0,0,Attack,Defense,"The target is slapped repeatedly, back and forth, four times in a row.",The target is slapped repeatedly back and forth two to five times in a row.,"One other Pokémon on the field, selected by the trainer.",TODO
4,1,Comet Punch,Normal,50,85,18,15,0,0,0,Attack,Defense,The target is hit with a flurry of punches that strike four times in a row.,The target is hit with a flurry of punches that strike two to five times in a row.,"One other Pokémon on the field, selected by the trainer.",TODO
5,1,Mega Punch,Normal,80,85,80,20,0,0,0,Attack,Defense,The target is slugged by a punch thrown with muscle-packed power.,The target is slugged by a punch thrown with muscle-packed power.,"One other Pokémon on the field, selected by the trainer.",TODO
6,1,Pay Day,Normal,100,100,40,20,0,0,0,Attack,Defense,Numerous coins are hurled at the target to inflict damage. It causes the target to drop a portion of its money.,Numerous coins are hurled at the target to inflict damage. Money is earned after the battle.,"One other Pokémon on the field, selected by the trainer.",TODO
7,1,Fire Punch,Fire,100,100,75,15,0,0,0,Attack,Defense,The target is punched with a fiery fist. This has a 10% chance to leave the target with a burn.,The target is punched with a fiery fist. This may also leave the target with a burn.,"One other Pokémon on the field, selected by the trainer.",10
8,1,Ice Punch,Ice,100,100,75,15,0,0,0,Attack,Defense,The target is punched with an icy fist. This has a 10% chance to leave the target frozen.,The target is punched with an icy fist. This may also leave the target frozen.,"One other Pokémon on the field, selected by the trainer.",10
9,1,Thunder Punch,Electric,100,100,75,15,0,0,0,Attack,Defense,The target is punched with an electrified fist. This may also leave the target with paralysis.,The target is punched with an electrified fist. This may also leave the target with paralysis.,"One other Pokémon on the field, selected by the trainer.",10
10,1,Scratch,Normal,100,100,40,35,0,0,0,Attack,Defense,"Hard, pointed, sharp claws rake the target to inflict damage.",Hard pointed sharp claws rake the target to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
11,1,Vise Grip,Normal,100,100,55,30,0,0,0,Attack,Defense,The target is gripped and squeezed from both sides to inflict damage. The target becomes immobilized.,The target is gripped and squeezed from both sides to inflict damage.,"One other Pokémon on the field, selected by the trainer.",TODO
